date,btc,eth,doge,ltc,bch,etc,dash
2018-01-29,90730287716.60413,53883886567.70279,469557725.0050266,6537892173.841975,10835395739.867823,2205220910.005273,2832542872.27932
2018-01-30,90190984574.4968,53213015759.28525,466474928.36931294,6480587134.023624,10821721473.67466,2120529090.3307233,2825258373.644398
2018-01-31,90108848141.5447,53716954680.2657,464641433.66851497,6472061179.664561,10795832388.94252,2145775900.5585763,2831632977.060925
2018-02-01,89708169455.777,53280209864.0636,460144020.3701072,6441865110.273069,10735264493.301483,2062429989.4545913,2833931906.478092
2018-02-02,89058462171.63562,52564470456.8508,456258772.977007,6406939987.0458355,10667635552.290466,2035532783.8454547,2837842516.710597
2018-02-03,88974760793.45921,52749461813.2604,456861338.5596044,6411554736.309396,10668326305.937887,2052528693.2010572,2845293856.940263
2018-02-04,88989123065.98265,52089093068.12554,453678487.29518265,6389022091.205868,10586706756.57746,2008792289.1994047,2853937433.48408
2018-02-05,88206669343.50615,50780155780.49855,448993547.65079707,6365588943.933961,10562620724.355804,1864226983.5827153,2843330221.4869566
2018-02-06,88047022803.17204,50920628966.083305,448612324.6214849,6356393332.474148,10513217301.525597,1896975119.1809452,2841479265.852285
2018-02-07,87715910429.80841,50212484230.620415,445042416.9248445,6402478593.778573,10490431244.713697,1886031518.789972,2838930126.4692817
2018-02-08,87619728875.43546,50384484747.60884,444503796.00868595,6399905403.8545065,10523354611.535984,1936553923.061692,2852567108.151592
2018-02-09,87615495894.69334,50834671099.30711,447784313.002128,6415048061.93828,10520162491.38402,2004204516.7291589,2854424974.453817
2018-02-10,87606482398.19273,50805073229.26882,447107653.9062261,6409845138.823256,10513970272.397943,1986145072.403972,2856940744.648212
2018-02-11,87518177381.34943,50538732929.78081,446471230.17266655,6415381701.709849,10522976135.096039,1995907903.8186865,2853192194.1049743
2018-02-12,87645668285.04489,50331770399.934975,447251357.2597058,6430329484.463799,10538008178.67422,2107331180.7074645,2862008445.3708706
